"Name","Created","Runtime","End Time","ID","Notes","State","Updated","Tags","User","Group","Job Type","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","batch_size","dropout","epochs","lr","max_length","pretrained","start_factor","accuracy_score_average","accuracy_scores","f1_score_average","f1_scores","loss_fold_0","loss_fold_1","loss_fold_2","loss_fold_3","loss_fold_4","precision_score_average","precision_scores","recall_score_average","recall_scores"
"26b4d324-0656-11ed-b30f-ac1f6bac3fd4","2022-07-18T04:55:07.000Z","901","2022-07-18T05:10:08.000Z","1kks2xkn","-","finished","2022-07-18T05:10:08.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","16","0.1","5","0.00004","32","roberta-large","0.5","0.7164921371765807","[0.6610169491525424,0.9639065817409768,0.5010615711252654,0.9575371549893844,0.4989384288747346]","0.7502266999720582","[0.4968553459119497,0.9629629629629628,0.6676096181046677,0.957983193277311,0.6657223796033994]","0.4219435751438141","0.001994682475924492","0.7047799229621887","0.07355760782957077","0.7124003171920776","0.7801008231134355","[0.9634146341463414,0.9910313901345292,0.5010615711252654,0.946058091286307,0.4989384288747346]","0.8482798413270827","[0.3347457627118644,0.9364406779661016,1,0.9702127659574468,1]"
"21ce38e8-06b8-11ed-b30f-ac1f6bac3fd4","2022-07-18T16:36:30.000Z","1143","2022-07-18T16:55:33.000Z","1cwd1441","-","finished","2022-07-18T16:55:33.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","16","0.1","5","0.00005","32","xlnet-large-cased","0.5","0.6552475799776889","[0.8919491525423728,0.5010615711252654,0.5010615711252654,0.8832271762208068,0.4989384288747346]","0.74983202862573","[0.8788598574821853,0.6676096181046677,0.6676096181046677,0.8693586698337292,0.6657223796033994]","0.5631751418113708","0.7087332606315613","0.7008997797966003","0.23575091361999512","0.7829341292381287","0.6969865077734402","[1,0.5010615711252654,0.5010615711252654,0.9838709677419356,0.4989384288747346]","0.912524341868013","[0.7838983050847458,1,1,0.7787234042553192,1]"
"33d41f6a-067e-11ed-b30f-ac1f6bac3fd4","2022-07-18T09:41:49.000Z","265","2022-07-18T09:46:14.000Z","2wp7hsx0","-","finished","2022-07-18T09:46:14.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","32","0.1","5","0.00005","32","albert-base-v2","0.5","0.8429153621936738","[0.934322033898305,0.9426751592356688,0.9532908704883228,0.5159235668789809,0.8683651804670913]","0.7480234797713028","[0.930957683741648,0.9406593406593408,0.9519650655021832,0.06557377049180328,0.8509615384615384]","0.2951008677482605","0.11236197501420976","0.02686951495707035","0.651656448841095","0.4055126905441284","0.9614322060811488","[0.9812206572769951,0.9771689497716894,0.981981981981982,0.8888888888888888,0.9779005524861878]","0.7006671474936892","[0.885593220338983,0.9067796610169492,0.923728813559322,0.03404255319148936,0.7531914893617021]"
"6dd480e4-05e1-11ed-ac71-ac1f6bac3fd4","2022-07-17T14:59:35.000Z","697","2022-07-17T15:11:12.000Z","e8jbj4av","-","finished","2022-07-17T15:11:12.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","64","0.1","5","0.00002","32","albert-large-v2","0.5","0.743186152794271","[0.7966101694915254,0.8195329087048833,0.8067940552016986,0.772823779193206,0.5201698513800425]","0.7470526134624308","[0.7808219178082192,0.8254620123203285,0.8279773156899811,0.7494145199063232,0.5515873015873016]","0.505374550819397","0.4374239444732666","0.2878592014312744","0.5871647000312805","0.697435736656189","0.7489667394241085","[0.8465346534653465,0.8007968127490039,0.7474402730375427,0.8333333333333334,0.516728624535316]","0.7553155427335015","[0.7245762711864406,0.8516949152542372,0.9279661016949152,0.6808510638297872,0.5914893617021276]"
"1beba00e-05d8-11ed-ac71-ac1f6bac3fd4","2022-07-17T13:52:52.000Z","231","2022-07-17T13:56:43.000Z","2qumvl0v","-","finished","2022-07-17T13:56:43.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","64","0.1","5","0.00001","32","albert-base-v2","0.5","0.8327305768469537","[0.9194915254237288,0.5138004246284501,0.9341825902335456,0.8895966029723992,0.9065817409766456]","0.7456895118822315","[0.918103448275862,0.08764940239043825,0.9330453563714902,0.880184331797235,0.9094650205761317]","0.30249935388565063","0.6061475872993469","0.07861611247062683","0.25768911838531494","0.15603992342948914","0.8918725584987328","[0.9342105263157896,0.7333333333333333,0.9515418502202644,0.9597989949748744,0.8804780876494024]","0.7235196538045437","[0.902542372881356,0.046610169491525424,0.9152542372881356,0.8127659574468085,0.9404255319148936]"
"f1303dea-0693-11ed-b30f-ac1f6bac3fd4","2022-07-18T12:17:26.000Z","771","2022-07-18T12:30:17.000Z","3txphjnw","-","finished","2022-07-18T12:30:17.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","16","0.1","5","0.00005","32","albert-large-v2","0.5","0.831933498866458","[0.7966101694915254,0.9426751592356688,0.9660297239915074,0.5010615711252654,0.9532908704883228]","0.7380079054151021","[0.8273381294964028,0.9426751592356688,0.9662447257383966,0,0.953781512605042]","0.6399616003036499","0.007980437017977238","0.37512481212615967","0.5717357397079468","0.32402944564819336","0.7135048877412711","[0.71875,0.9446808510638298,0.96218487394958,0,0.941908713692946]","0.7703101334294987","[0.9745762711864406,0.940677966101695,0.9703389830508474,0,0.9659574468085106]"
"ac972930-069a-11ed-b30f-ac1f6bac3fd4","2022-07-18T13:05:38.000Z","1403","2022-07-18T13:29:01.000Z","nd35kbkm","-","finished","2022-07-18T13:29:01.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","32","0.1","5","0.00005","64","albert-large-v2","0.5","0.8076999892043615","[0.8665254237288136,0.49469214437367304,0.8343949044585988,0.9044585987261148,0.9384288747346072]","0.7156875831006226","[0.8596881959910913,0.04800000000000001,0.8333333333333334,0.8979591836734694,0.9394572025052192]","0.44054871797561646","0.6806600689888","0.32783761620521545","0.3063584566116333","0.06378927081823349","0.8116976304840776","[0.9061032863849764,0.42857142857142855,0.8405172413793104,0.9611650485436892,0.9221311475409836]","0.6938983050847458","[0.8177966101694916,0.025423728813559324,0.826271186440678,0.8425531914893617,0.9574468085106383]"
"a9606170-0648-11ed-b30f-ac1f6bac3fd4","2022-07-18T03:18:41.000Z","1373","2022-07-18T03:41:34.000Z","1mg471wu","-","finished","2022-07-18T03:41:34.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","32","0.1","5","0.00005","64","bert-large-uncased","0.5","0.7760084925690022","[0.5,0.9575371549893844,0.9681528662420382,0.4989384288747346,0.9554140127388536]","0.7095443389179018","[0,0.956896551724138,0.968944099378882,0.6657223796033994,0.9561586638830896]","0.7085879445075989","0.20912960171699524","0.1029498428106308","0.7078333497047424","0.016171669587492943","0.6717031301235232","[0,0.9736842105263158,0.9473684210526316,0.4989384288747346,0.9385245901639344]","0.7813342949873784","[0,0.940677966101695,0.9915254237288136,1,0.9744680851063828]"
"a2e49098-06a0-11ed-b30f-ac1f6bac3fd4","2022-07-18T13:48:18.000Z","1911","2022-07-18T14:20:09.000Z","1yu5tfuw","-","finished","2022-07-18T14:20:09.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","16","0.1","5","0.00003","64","xlnet-large-cased","0.5","0.7724180431105834","[0.9555084745762712,0.49256900212314225,0.9660297239915074,0.4989384288747346,0.9490445859872612]","0.7070809400393454","[0.9563409563409564,0,0.965065502183406,0.6657223796033994,0.9482758620689656]","0.11909210681915285","0.6446033716201782","0.010958606377243996","0.7081699371337891","0.07932489365339279","0.6787816249061287","[0.9387755102040816,0,0.9954954954954957,0.4989384288747346,0.960698689956332]","0.7694374323837","[0.9745762711864406,0,0.9364406779661016,1,0.9361702127659576]"
"4a103d12-05da-11ed-ac71-ac1f6bac3fd4","2022-07-17T14:08:29.000Z","232","2022-07-17T14:12:21.000Z","1x2bb5vx","-","finished","2022-07-17T14:12:21.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","128","0.1","5","0.00002","32","albert-base-v2","0.5","0.7814351002195112","[0.7203389830508474,0.5159235668789809,0.9129511677282378,0.8980891719745223,0.8598726114649682]","0.705813299281935","[0.748091603053435,0.09523809523809525,0.9082774049217004,0.9043824701195218,0.8730769230769231]","0.6468328833580017","0.6346063613891602","0.08397061377763748","0.40291842818260193","0.2730213403701782","0.8078638715200412","[0.6805555555555556,0.75,0.962085308056872,0.850187265917603,0.7964912280701755]","0.7346880634691669","[0.8305084745762712,0.05084745762711865,0.8601694915254238,0.9659574468085106,0.9659574468085106]"
"2e54e86a-06b2-11ed-b30f-ac1f6bac3fd4","2022-07-18T15:53:54.000Z","916","2022-07-18T16:09:10.000Z","209gzzff","-","finished","2022-07-18T16:09:10.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","32","0.1","5","0.00004","32","xlnet-large-cased","0.5","0.7656248875454317","[0.9533898305084746,0.5010615711252654,0.5010615711252654,0.9490445859872612,0.9235668789808916]","0.6997005203169959","[0.9515418502202644,0.6676096181046677,0.008438818565400843,0.950207468879668,0.920704845814978]","0.18176451325416565","0.7519888877868652","0.6531755924224854","0.055133428424596786","0.2357620745897293","0.8746701329629827","[0.9908256880733946,0.5010615711252654,1,0.9271255060728744,0.954337899543379]","0.7566642625315543","[0.9152542372881356,1,0.00423728813559322,0.9744680851063828,0.8893617021276595]"
"11379388-05de-11ed-ac71-ac1f6bac3fd4","2022-07-17T14:35:32.000Z","697","2022-07-17T14:47:09.000Z","2o5qr1wr","-","finished","2022-07-17T14:47:09.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","64","0.1","5","0.00001","32","albert-large-v2","0.5","0.6450888840908273","[0.815677966101695,0.7791932059447984,0.5477707006369427,0.5859872611464968,0.4968152866242038]","0.690644840268293","[0.8137044967880086,0.768888888888889,0.5714285714285715,0.6524064171122995,0.646795827123696]","0.5026208162307739","0.5051454305648804","0.6346328854560852","0.7254583835601807","0.80637526512146","0.6468078910831937","[0.8225108225108225,0.8084112149532711,0.5440613026819924,0.5613496932515337,0.49770642201834864]","0.7683916336098089","[0.8050847457627118,0.7330508474576272,0.6016949152542372,0.7787234042553192,0.9234042553191488]"
"8017d75e-0679-11ed-b30f-ac1f6bac3fd4","2022-07-18T09:08:10.000Z","495","2022-07-18T09:16:25.000Z","31oqfk2x","-","finished","2022-07-18T09:16:25.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","16","0.1","5","0.00004","64","albert-base-v2","0.5","0.7564755838641188","[0.5,0.9065817409766456,0.4989384288747346,0.951167728237792,0.9256900212314224]","0.6872051365872875","[0.6666666666666666,0.9,0,0.9494505494505494,0.919908466819222]","0.7242246270179749","0.2299559861421585","0.6996554732322693","0.7153447866439819","0.009917272254824638","0.689491184412559","[0.5,0.9705882352941176,0,0.9818181818181818,0.995049504950495]","0.7226902271907681","[1,0.8389830508474576,0,0.9191489361702128,0.8553191489361702]"
"aa16ec86-0690-11ed-b30f-ac1f6bac3fd4","2022-07-18T11:53:58.000Z","1405","2022-07-18T12:17:23.000Z","2s5qel5k","-","finished","2022-07-18T12:17:23.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","32","0.1","5","0.00004","64","albert-large-v2","0.5","0.7618419158659903","[0.8622881355932204,0.49044585987261147,0.8067940552016986,0.7494692144373672,0.9002123142250531]","0.6713719653069615","[0.8470588235294118,0.008264462809917356,0.8317929759704252,0.7695312500000001,0.9002123142250531]","0.3606147766113281","0.6745648980140686","0.1713971048593521","0.4316346049308777","0.061298757791519165","0.6932497915132482","[0.9523809523809524,0.16666666666666666,0.7377049180327869,0.7111913357400722,0.8983050847457628]","0.6921529029931481","[0.7627118644067796,0.00423728813559322,0.9533898305084746,0.8382978723404255,0.902127659574468]"
"a5569084-0686-11ed-b30f-ac1f6bac3fd4","2022-07-18T10:42:15.000Z","1404","2022-07-18T11:05:39.000Z","2orpx74z","-","finished","2022-07-18T11:05:39.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","32","0.1","5","0.00003","64","albert-large-v2","0.5","0.7750872647450431","[0.6694915254237288,0.49256900212314225,0.8980891719745223,0.8726114649681529,0.9426751592356688]","0.6687628704819105","[0.6157635467980295,0.01646090534979424,0.8969957081545065,0.8734177215189874,0.9411764705882352]","0.5468280911445618","0.7010744214057922","0.28073906898498535","0.3936514556407929","0.05900118499994278","0.7520197112863701","[0.7352941176470589,0.2857142857142857,0.908695652173913,0.8661087866108786,0.9642857142857144]","0.6447457627118645","[0.5296610169491526,0.00847457627118644,0.885593220338983,0.8808510638297873,0.9191489361702128]"
"b860e9d2-06ad-11ed-b30f-ac1f6bac3fd4","2022-07-18T15:21:58.000Z","1913","2022-07-18T15:53:51.000Z","37gofwv8","-","finished","2022-07-18T15:53:51.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","16","0.1","5","0.00004","64","xlnet-large-cased","0.5","0.6836751952211306","[0.9449152542372882,0.970276008492569,0.5031847133757962,0.5010615711252654,0.4989384288747346]","0.6502423395658914","[0.9467213114754096,0.9702127659574468,0.668555240793201,0,0.6657223796033994]","0.37559548020362854","0.02198777347803116","0.627953290939331","0.6408687233924866","0.695785403251648","0.5784183458949688","[0.9166666666666666,0.9743589743589745,0.502127659574468,0,0.4989384288747346]","0.7889830508474576","[0.9788135593220338,0.9661016949152542,1,0,1]"
"92ec450c-0667-11ed-b30f-ac1f6bac3fd4","2022-07-18T06:59:50.000Z","1280","2022-07-18T07:21:10.000Z","1jmcjsqr","-","finished","2022-07-18T07:21:10.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","32","0.1","5","0.00005","64","roberta-large","0.5","0.78557702688114","[0.9661016949152542,0.524416135881104,0.9723991507430998,0.9639065817409768,0.5010615711252654]","0.6404045838317163","[0.965217391304348,0.30000000000000004,0.9727463312368972,0.9640591966173362,0]","0.07179306447505951","0.6897941827774048","0.1434098780155182","0.02020864188671112","0.7024010419845581","0.6966277589874125","[0.9910714285714286,0.5714285714285714,0.9626556016597512,0.957983193277311,0]","0.6194662820050487","[0.940677966101695,0.2033898305084746,0.9830508474576272,0.9702127659574468,0]"
"61ebf790-06c1-11ed-b30f-ac1f6bac3fd4","2022-07-18T17:42:43.000Z","1634","2022-07-18T18:09:57.000Z","yuol3c5y","-","finished","2022-07-18T18:09:57.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","32","0.1","5","0.00005","64","xlnet-large-cased","0.5","0.664755838641189","[0.5,0.9554140127388536,0.505307855626327,0.8641188959660298,0.4989384288747346]","0.6306303215874128","[0.6666666666666666,0.9561586638830898,0.025104602510460258,0.8423645320197045,0.6628571428571428]","0.6885048747062683","0.03895501419901848","0.7097404599189758","0.25015881657600403","0.624251663684845","0.7882623124917032","[0.5,0.9423868312757202,1,1,0.4989247311827957]","0.7395888928957807","[1,0.9703389830508474,0.012711864406779662,0.7276595744680852,0.9872340425531916]"
"ba7cd374-068b-11ed-b30f-ac1f6bac3fd4","2022-07-18T11:18:38.000Z","1398","2022-07-18T11:41:56.000Z","8xaj5ee8","-","finished","2022-07-18T11:41:56.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","16","0.1","5","0.00004","64","albert-large-v2","0.5","0.7762423980711792","[0.9491525423728814,0.9044585987261148,0.9426751592356688,0.583864118895966,0.5010615711252654]","0.6288083449743477","[0.948051948051948,0.909456740442656,0.9398663697104676,0.3466666666666666,0]","0.11980839818716048","0.6580838561058044","0.06481485068798065","0.5500580668449402","0.7442988753318787","0.7251074520905652","[0.9690265486725664,0.8659003831417624,0.9906103286384976,0.8,0]","0.6001875225387667","[0.9279661016949152,0.9576271186440678,0.8940677966101694,0.22127659574468084,0]"
"2b825cd0-0653-11ed-b30f-ac1f6bac3fd4","2022-07-18T04:33:47.000Z","1277","2022-07-18T04:55:04.000Z","3a2ho6ht","-","finished","2022-07-18T04:55:04.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","32","0.1","5","0.00003","64","roberta-large","0.5","0.7870461333621217","[0.5063559322033898,0.978768577494692,0.9808917197452228,0.9681528662420382,0.5010615711252654]","0.5952648372303863","[0.04897959183673469,0.978902953586498,0.980561555075594,0.9678800856531048,0]","0.6820040345191956","0.008543619886040688","0.020946437492966652","0.0819462463259697","0.6876645684242249","0.7231189027335072","[0.6666666666666666,0.9747899159663864,1,0.9741379310344828,0]","0.5864082221420843","[0.025423728813559324,0.9830508474576272,0.961864406779661,0.9617021276595744,0]"
"cd22484a-06ba-11ed-b30f-ac1f6bac3fd4","2022-07-18T16:55:36.000Z","1908","2022-07-18T17:27:24.000Z","37w6jtle","-","finished","2022-07-18T17:27:24.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","16","0.1","5","0.00005","64","xlnet-large-cased","0.5","0.5878980891719745","[0.5,0.5010615711252654,0.5010615711252654,0.4989384288747346,0.9384288747346072]","0.5882786722385223","[0,0.6676096181046677,0.6676096181046677,0.6657223796033994,0.9404517453798767]","0.6907747387886047","0.7628999948501587","0.7040790915489197","0.8282751441001892","0.025440601631999016","0.4819583459710848","[0,0.5010615711252654,0.5010615711252654,0.4989384288747346,0.9087301587301588]","0.7948936170212766","[0,1,1,1,0.9744680851063828]"
"48a9cd8e-067b-11ed-b30f-ac1f6bac3fd4","2022-07-18T09:20:56.000Z","461","2022-07-18T09:28:37.000Z","31b0mwxe","-","finished","2022-07-18T09:28:37.000Z","","yadayuki","","","","enigma21","","","","2","Tesla P100-PCIE-16GB","32","0.1","5","0.00004","64","albert-base-v2","0.5","0.7524829968692648","[0.902542372881356,0.4989384288747346,0.940552016985138,0.5562632696390658,0.8641188959660298]","0.5815012310837393","[0.8973214285714286,0,0.9375,0.2287822878228782,0.8439024390243902]","0.512559175491333","0.6924601793289185","0.017483707517385483","0.6451057195663452","0.4497327506542206","0.7576723569931116","[0.9481132075471698,0,0.9905660377358492,0.8611111111111112,0.9885714285714284]","0.5219221060223584","[0.8516949152542372,0,0.8898305084745762,0.13191489361702127,0.7361702127659574]"
